Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,0.054,124.009,0.611,101,0.620
LearningBrain,0.054,124.761,0.625,101,0.622
LearningBrain,0.050,125.536,0.650,102,0.624
LearningBrain,0.053,126.326,0.661,107,0.625
LearningBrain,0.057,127.103,0.646,108,0.627
LearningBrain,0.052,127.869,0.640,104,0.629
LearningBrain,0.053,128.706,0.705,105,0.631
LearningBrain,0.053,129.489,0.654,108,0.634
LearningBrain,0.059,130.245,0.626,102,0.635
LearningBrain,0.057,131.038,0.660,106,0.637
LearningBrain,0.054,131.825,0.654,103,0.639
LearningBrain,0.052,132.586,0.635,106,0.641
LearningBrain,0.056,133.333,0.620,102,0.643
LearningBrain,0.054,134.110,0.654,102,0.644
LearningBrain,0.053,134.857,0.623,103,0.647
LearningBrain,0.058,135.653,0.661,105,0.648
LearningBrain,0.066,136.409,0.620,110,0.649
LearningBrain,0.053,137.184,0.648,104,0.651
LearningBrain,0.062,138.014,0.688,112,0.653
LearningBrain,0.052,138.787,0.647,102,0.655
LearningBrain,0.053,139.562,0.645,103,0.657
LearningBrain,0.057,140.399,0.701,113,0.659
LearningBrain,0.054,141.167,0.641,103,0.661
LearningBrain,0.051,141.983,0.685,103,0.662
LearningBrain,0.057,142.799,0.679,109,0.664
LearningBrain,0.059,143.547,0.619,101,0.665
LearningBrain,0.052,144.343,0.668,105,0.667
LearningBrain,0.052,145.093,0.630,104,0.669
LearningBrain,0.057,145.938,0.708,111,0.671
LearningBrain,0.053,146.720,0.655,103,0.672
LearningBrain,0.057,147.568,0.707,105,0.674
LearningBrain,0.053,148.358,0.660,106,0.676
LearningBrain,0.053,149.135,0.649,102,0.678
LearningBrain,0.058,149.926,0.657,105,0.679
LearningBrain,0.059,150.699,0.640,103,0.680
LearningBrain,0.056,151.527,0.693,110,0.682
LearningBrain,0.055,152.295,0.638,103,0.684
LearningBrain,0.053,153.084,0.662,101,0.686
LearningBrain,0.051,153.866,0.656,103,0.688
LearningBrain,0.051,154.631,0.641,105,0.689
LearningBrain,0.058,155.439,0.670,104,0.691
LearningBrain,0.052,156.231,0.662,104,0.692
LearningBrain,0.054,157.005,0.646,103,0.694
LearningBrain,0.061,157.837,0.693,107,0.696
LearningBrain,0.050,158.634,0.670,103,0.698
LearningBrain,0.052,159.402,0.643,101,0.700
LearningBrain,0.053,160.188,0.658,102,0.702
LearningBrain,0.055,160.965,0.648,103,0.704
LearningBrain,0.052,161.733,0.642,102,0.706
LearningBrain,0.060,162.591,0.718,113,0.707
LearningBrain,0.062,163.389,0.661,101,0.709
LearningBrain,0.053,164.209,0.685,103,0.711
LearningBrain,0.054,164.938,0.606,101,0.712
LearningBrain,0.053,165.727,0.660,103,0.714
LearningBrain,0.054,166.525,0.666,106,0.716
LearningBrain,0.052,167.330,0.676,108,0.717
LearningBrain,0.061,168.138,0.670,103,0.719
LearningBrain,0.060,168.956,0.681,112,0.720
LearningBrain,0.051,169.813,0.724,104,0.722
LearningBrain,0.052,170.619,0.677,106,0.724
LearningBrain,0.054,171.440,0.684,102,0.726
LearningBrain,0.061,172.303,0.717,107,0.727
LearningBrain,0.055,173.119,0.684,102,0.729
LearningBrain,0.054,173.917,0.667,105,0.731
LearningBrain,0.053,174.700,0.654,102,0.732
LearningBrain,0.054,175.506,0.675,102,0.734
LearningBrain,0.053,176.255,0.624,102,0.735
LearningBrain,0.058,177.084,0.691,107,0.737
LearningBrain,0.056,177.871,0.656,105,0.738
LearningBrain,0.051,178.662,0.664,102,0.740
LearningBrain,0.059,179.490,0.689,102,0.741
LearningBrain,0.053,180.281,0.662,105,0.742
LearningBrain,0.054,181.091,0.678,104,0.744
LearningBrain,0.054,181.882,0.661,102,0.746
LearningBrain,0.055,182.696,0.680,104,0.747
LearningBrain,0.058,183.458,0.632,101,0.749
LearningBrain,0.053,184.269,0.680,104,0.750
LearningBrain,0.051,185.082,0.684,103,0.752
LearningBrain,0.053,185.847,0.638,104,0.753
LearningBrain,0.058,186.702,0.715,110,0.754
LearningBrain,0.054,187.500,0.665,105,0.755
LearningBrain,0.052,188.292,0.664,101,0.757
LearningBrain,0.052,189.088,0.667,103,0.758
LearningBrain,0.055,189.885,0.666,102,0.760
LearningBrain,0.061,190.679,0.658,104,0.761
LearningBrain,0.052,191.487,0.678,103,0.762
LearningBrain,0.054,192.292,0.672,106,0.763
LearningBrain,0.054,193.139,0.714,104,0.765
LearningBrain,0.052,193.928,0.661,101,0.766
LearningBrain,0.065,194.767,0.695,112,0.767
LearningBrain,0.058,195.540,0.637,101,0.768
LearningBrain,0.053,196.350,0.678,102,0.770
LearningBrain,0.051,197.145,0.667,103,0.771
LearningBrain,0.055,197.956,0.681,103,0.772
LearningBrain,0.051,198.771,0.685,105,0.773
LearningBrain,0.052,199.578,0.678,105,0.774
LearningBrain,0.053,200.397,0.687,104,0.776
LearningBrain,0.056,201.188,0.659,104,0.777
LearningBrain,0.060,202.011,0.683,104,0.778
LearningBrain,0.050,202.810,0.672,104,0.779
LearningBrain,0.054,203.626,0.680,101,0.780
LearningBrain,0.052,204.433,0.676,101,0.781
LearningBrain,0.055,205.196,0.635,101,0.782
LearningBrain,0.053,205.987,0.663,101,0.783
LearningBrain,0.051,206.778,0.664,103,0.784
LearningBrain,0.054,207.580,0.670,104,0.785
LearningBrain,0.054,208.369,0.661,106,0.786
LearningBrain,0.053,209.143,0.647,104,0.787
LearningBrain,0.051,209.916,0.650,102,0.788
LearningBrain,0.050,210.711,0.669,106,0.789
LearningBrain,0.054,211.497,0.654,103,0.790
LearningBrain,0.056,212.337,0.702,105,0.791
LearningBrain,0.068,213.216,0.727,110,0.792
LearningBrain,0.051,214.058,0.707,103,0.794
LearningBrain,0.056,214.913,0.713,104,0.794
LearningBrain,0.062,215.851,0.778,101,0.795
LearningBrain,0.056,216.713,0.719,102,0.796
LearningBrain,0.053,217.553,0.705,105,0.797
LearningBrain,0.058,218.370,0.679,104,0.798
LearningBrain,0.057,219.229,0.716,103,0.799
LearningBrain,0.054,220.050,0.685,106,0.800
LearningBrain,0.050,220.862,0.680,103,0.801
LearningBrain,0.055,221.733,0.728,105,0.802
LearningBrain,0.051,222.553,0.688,102,0.803
LearningBrain,0.060,223.362,0.668,101,0.804
LearningBrain,0.062,224.206,0.698,101,0.805
LearningBrain,0.055,225.026,0.683,104,0.805
LearningBrain,0.052,225.826,0.668,104,0.806
LearningBrain,0.059,226.583,0.623,106,0.807
LearningBrain,0.053,227.466,0.742,106,0.808
LearningBrain,0.053,228.314,0.712,105,0.809
LearningBrain,0.050,229.095,0.653,102,0.810
LearningBrain,0.052,229.878,0.655,101,0.810
LearningBrain,0.060,230.642,0.631,103,0.811
LearningBrain,0.054,231.473,0.696,102,0.812
LearningBrain,0.054,232.274,0.667,101,0.813
LearningBrain,0.053,233.081,0.675,102,0.814
LearningBrain,0.051,233.896,0.685,104,0.815
LearningBrain,0.061,234.756,0.715,104,0.816
LearningBrain,0.055,235.604,0.705,103,0.816
LearningBrain,0.053,236.503,0.755,105,0.817
LearningBrain,0.051,238.362,1.717,104,0.818
LearningBrain,0.053,239.168,0.673,102,0.819
LearningBrain,0.053,239.973,0.673,102,0.820
LearningBrain,0.052,240.785,0.679,104,0.820
LearningBrain,0.052,241.570,0.657,102,0.821
LearningBrain,0.059,242.963,1.254,104,0.822
LearningBrain,0.053,243.854,0.746,103,0.823
LearningBrain,0.050,244.702,0.713,107,0.823
LearningBrain,0.054,245.521,0.683,102,0.824
LearningBrain,0.051,246.343,0.691,103,0.825
LearningBrain,0.052,247.162,0.688,101,0.826
LearningBrain,0.051,247.963,0.673,106,0.826
LearningBrain,0.052,248.753,0.660,101,0.827
LearningBrain,0.055,249.552,0.665,102,0.828
LearningBrain,0.055,250.426,0.730,103,0.829
LearningBrain,0.055,251.290,0.722,104,0.829
LearningBrain,0.054,252.144,0.715,103,0.830
LearningBrain,0.051,252.996,0.715,103,0.831
LearningBrain,0.056,253.809,0.676,102,0.831
LearningBrain,0.055,254.682,0.730,101,0.832
LearningBrain,0.052,255.545,0.724,106,0.833
LearningBrain,0.061,256.357,0.672,103,0.833
LearningBrain,0.052,257.143,0.654,101,0.834
LearningBrain,0.050,257.943,0.671,101,0.834
LearningBrain,0.050,258.748,0.677,103,0.835
LearningBrain,0.054,259.585,0.699,103,0.836
LearningBrain,0.058,260.378,0.659,101,0.837
LearningBrain,0.053,261.213,0.700,102,0.837
LearningBrain,0.054,262.045,0.695,105,0.838
LearningBrain,0.051,262.834,0.662,101,0.838
LearningBrain,0.051,263.665,0.697,107,0.839
LearningBrain,0.052,264.438,0.647,101,0.839
LearningBrain,0.052,265.253,0.685,101,0.840
LearningBrain,0.054,266.075,0.688,103,0.841
LearningBrain,0.058,266.873,0.663,102,0.841
LearningBrain,0.058,267.733,0.716,102,0.842
LearningBrain,0.053,268.524,0.661,103,0.842
LearningBrain,0.053,269.319,0.664,104,0.843
LearningBrain,0.052,270.147,0.694,103,0.843
LearningBrain,0.053,270.955,0.677,103,0.844
LearningBrain,0.059,271.728,0.640,101,0.844
LearningBrain,0.052,272.568,0.706,102,0.845
LearningBrain,0.052,273.385,0.684,105,0.846
LearningBrain,0.057,274.218,0.695,113,0.846
LearningBrain,0.059,275.026,0.671,105,0.847
LearningBrain,0.055,275.874,0.707,102,0.847
LearningBrain,0.053,276.710,0.700,107,0.847
LearningBrain,0.052,277.472,0.637,101,0.848
LearningBrain,0.053,278.289,0.684,103,0.848
LearningBrain,0.051,279.110,0.690,104,0.849
LearningBrain,0.057,279.887,0.645,101,0.849
LearningBrain,0.054,280.678,0.661,105,0.850
LearningBrain,0.052,281.495,0.685,103,0.851
LearningBrain,0.055,282.240,0.613,101,0.851
LearningBrain,0.055,283.136,0.750,106,0.851
LearningBrain,0.058,283.949,0.674,101,0.852
LearningBrain,0.051,284.702,0.629,101,0.852
LearningBrain,0.052,285.464,0.635,101,0.853
LearningBrain,0.054,286.237,0.644,102,0.853
LearningBrain,0.060,287.102,0.720,109,0.854
LearningBrain,0.052,287.907,0.675,101,0.854
LearningBrain,0.054,288.715,0.674,106,0.855
LearningBrain,0.059,289.568,0.712,114,0.855
LearningBrain,0.057,290.351,0.651,101,0.855
LearningBrain,0.059,291.151,0.664,105,0.855
LearningBrain,0.051,292.014,0.724,104,0.856
LearningBrain,0.054,292.821,0.673,107,0.856
LearningBrain,0.054,293.585,0.635,103,0.857
LearningBrain,0.054,294.389,0.672,102,0.857
LearningBrain,0.058,295.219,0.692,106,0.857
LearningBrain,0.054,296.006,0.654,101,0.858
LearningBrain,0.054,296.810,0.673,101,0.858
LearningBrain,0.050,297.640,0.698,104,0.859
LearningBrain,0.054,298.445,0.673,101,0.859
LearningBrain,0.055,299.237,0.661,101,0.860
LearningBrain,0.052,300.076,0.704,103,0.860
LearningBrain,0.057,300.873,0.662,105,0.861
LearningBrain,0.055,301.690,0.684,104,0.861
LearningBrain,0.061,302.496,0.665,105,0.862
LearningBrain,0.053,303.260,0.636,103,0.862
LearningBrain,0.054,304.112,0.715,106,0.863
LearningBrain,0.052,304.917,0.675,105,0.863
LearningBrain,0.051,305.710,0.665,101,0.863
LearningBrain,0.057,306.491,0.648,102,0.864
LearningBrain,0.053,307.315,0.688,101,0.864
LearningBrain,0.051,308.159,0.709,105,0.864
LearningBrain,0.053,308.952,0.663,102,0.865
LearningBrain,0.054,309.763,0.678,107,0.865
LearningBrain,0.058,310.575,0.675,105,0.866
LearningBrain,0.052,311.378,0.674,101,0.866
LearningBrain,0.055,312.225,0.708,107,0.866
LearningBrain,0.055,313.052,0.691,101,0.867
LearningBrain,0.053,313.839,0.657,102,0.867
LearningBrain,0.056,314.622,0.651,104,0.868
LearningBrain,0.054,315.441,0.683,104,0.868
LearningBrain,0.051,316.286,0.711,104,0.868
LearningBrain,0.053,317.114,0.694,104,0.869
LearningBrain,0.052,317.941,0.694,103,0.869
LearningBrain,0.050,318.747,0.677,103,0.869
LearningBrain,0.053,319.530,0.654,102,0.870
LearningBrain,0.052,320.335,0.673,107,0.870
LearningBrain,0.054,321.144,0.676,106,0.870
LearningBrain,0.057,322.031,0.737,105,0.871
LearningBrain,0.060,322.873,0.701,107,0.871
LearningBrain,0.052,323.690,0.682,103,0.871
LearningBrain,0.052,324.495,0.674,106,0.872
LearningBrain,0.055,325.342,0.709,104,0.872
LearningBrain,0.052,326.189,0.712,105,0.872
LearningBrain,0.062,326.996,0.668,102,0.873
LearningBrain,0.058,327.870,0.728,107,0.873
