Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,0.092,1.775,0.912,111,0.167
LearningBrain,0.066,2.638,0.714,127,0.100
LearningBrain,0.061,4.137,1.350,115,0.067
LearningBrain,0.051,4.855,0.593,105,0.150
LearningBrain,0.072,5.858,0.828,142,0.111
LearningBrain,0.063,6.666,0.670,109,0.118
LearningBrain,0.057,7.475,0.672,114,0.125
LearningBrain,0.056,8.304,0.691,110,0.200
LearningBrain,0.064,9.067,0.628,114,0.185
LearningBrain,0.053,9.824,0.629,104,0.197
LearningBrain,0.051,10.534,0.590,104,0.179
LearningBrain,0.051,11.244,0.590,101,0.176
LearningBrain,0.052,11.975,0.607,103,0.163
LearningBrain,0.057,12.775,0.667,115,0.169
LearningBrain,0.058,13.567,0.657,114,0.165
LearningBrain,0.053,14.294,0.605,102,0.185
LearningBrain,0.053,15.054,0.635,107,0.203
LearningBrain,0.055,15.851,0.664,110,0.223
LearningBrain,0.056,16.611,0.632,105,0.234
LearningBrain,0.065,17.421,0.668,116,0.233
LearningBrain,0.056,18.193,0.641,111,0.237
LearningBrain,0.064,18.985,0.651,110,0.251
LearningBrain,0.054,19.788,0.670,109,0.272
LearningBrain,0.058,20.557,0.637,105,0.279
LearningBrain,0.054,21.327,0.642,105,0.290
LearningBrain,0.061,22.204,0.730,116,0.296
LearningBrain,0.054,22.960,0.628,103,0.305
LearningBrain,0.058,23.758,0.663,110,0.305
LearningBrain,0.053,24.496,0.615,102,0.313
LearningBrain,0.058,25.262,0.635,107,0.310
LearningBrain,0.059,26.068,0.668,110,0.319
LearningBrain,0.056,26.840,0.642,105,0.327
LearningBrain,0.053,27.654,0.680,109,0.326
LearningBrain,0.051,28.420,0.641,102,0.333
LearningBrain,0.055,29.240,0.686,109,0.339
LearningBrain,0.064,30.071,0.687,111,0.345
LearningBrain,0.057,30.890,0.682,112,0.346
LearningBrain,0.059,31.693,0.667,111,0.354
LearningBrain,0.055,32.479,0.653,103,0.360
LearningBrain,0.052,33.218,0.614,101,0.363
LearningBrain,0.056,34.017,0.664,104,0.365
LearningBrain,0.056,34.767,0.620,101,0.366
LearningBrain,0.054,35.710,0.791,108,0.367
LearningBrain,0.059,36.556,0.706,111,0.374
LearningBrain,0.063,37.406,0.705,111,0.377
LearningBrain,0.053,38.143,0.612,102,0.377
LearningBrain,0.053,38.886,0.620,101,0.382
LearningBrain,0.051,39.642,0.632,106,0.382
LearningBrain,0.056,40.446,0.670,108,0.386
LearningBrain,0.054,41.237,0.660,106,0.391
LearningBrain,0.068,42.105,0.718,122,0.396
LearningBrain,0.061,42.863,0.625,103,0.400
LearningBrain,0.063,43.680,0.673,112,0.400
LearningBrain,0.074,44.691,0.842,141,0.402
LearningBrain,0.055,45.449,0.629,106,0.406
LearningBrain,0.052,46.181,0.607,104,0.409
LearningBrain,0.055,46.931,0.622,104,0.413
LearningBrain,0.054,47.689,0.631,103,0.417
LearningBrain,0.056,48.489,0.668,109,0.419
LearningBrain,0.053,49.250,0.637,103,0.423
LearningBrain,0.051,50.019,0.644,107,0.423
LearningBrain,0.060,50.817,0.661,102,0.428
LearningBrain,0.063,51.566,0.611,101,0.428
LearningBrain,0.052,52.341,0.648,104,0.431
LearningBrain,0.052,53.095,0.630,103,0.435
LearningBrain,0.054,53.844,0.624,103,0.435
LearningBrain,0.058,54.619,0.645,111,0.437
LearningBrain,0.055,55.361,0.617,102,0.442
LearningBrain,0.065,56.248,0.738,124,0.446
LearningBrain,0.069,57.118,0.717,122,0.447
LearningBrain,0.059,57.989,0.729,119,0.448
LearningBrain,0.060,58.761,0.639,101,0.450
LearningBrain,0.057,59.526,0.632,102,0.450
LearningBrain,0.053,60.272,0.622,101,0.454
LearningBrain,0.054,61.024,0.625,101,0.456
LearningBrain,0.056,61.824,0.668,108,0.458
LearningBrain,0.054,62.639,0.680,103,0.460
LearningBrain,0.052,63.469,0.699,109,0.463
LearningBrain,0.052,64.254,0.658,104,0.466
LearningBrain,0.055,65.062,0.676,104,0.469
LearningBrain,0.055,65.808,0.619,101,0.470
LearningBrain,0.067,66.653,0.699,117,0.472
LearningBrain,0.058,67.372,0.592,107,0.475
LearningBrain,0.053,68.163,0.664,106,0.478
LearningBrain,0.057,69.007,0.708,107,0.479
LearningBrain,0.057,69.743,0.609,101,0.481
LearningBrain,0.056,70.475,0.607,101,0.482
LearningBrain,0.059,71.347,0.728,116,0.484
LearningBrain,0.052,72.090,0.620,101,0.485
LearningBrain,0.054,72.864,0.645,103,0.486
LearningBrain,0.054,73.621,0.631,103,0.487
LearningBrain,0.058,74.457,0.699,113,0.490
LearningBrain,0.054,75.202,0.618,103,0.491
LearningBrain,0.053,75.985,0.652,105,0.492
LearningBrain,0.057,76.809,0.690,110,0.495
LearningBrain,0.053,77.582,0.644,106,0.497
LearningBrain,0.060,78.421,0.699,110,0.501
LearningBrain,0.052,79.180,0.634,101,0.503
LearningBrain,0.058,79.932,0.623,104,0.505
LearningBrain,0.052,80.738,0.676,103,0.507
LearningBrain,0.065,81.548,0.669,108,0.509
LearningBrain,0.052,82.315,0.640,101,0.511
LearningBrain,0.058,83.140,0.686,108,0.513
LearningBrain,0.054,83.938,0.665,104,0.516
LearningBrain,0.052,84.663,0.603,104,0.518
LearningBrain,0.054,85.454,0.661,102,0.521
LearningBrain,0.066,86.349,0.743,121,0.523
LearningBrain,0.052,87.097,0.624,101,0.525
LearningBrain,0.057,87.866,0.640,104,0.526
LearningBrain,0.051,88.655,0.662,107,0.528
LearningBrain,0.061,89.481,0.688,110,0.530
LearningBrain,0.057,90.252,0.642,103,0.530
LearningBrain,0.053,91.010,0.630,102,0.531
LearningBrain,0.056,91.864,0.710,105,0.535
LearningBrain,0.058,92.753,0.742,104,0.536
LearningBrain,0.057,93.562,0.675,102,0.539
LearningBrain,0.060,94.394,0.692,101,0.543
LearningBrain,0.056,95.155,0.633,104,0.545
LearningBrain,0.057,95.964,0.673,110,0.549
LearningBrain,0.056,96.731,0.638,101,0.553
LearningBrain,0.055,97.515,0.654,106,0.554
LearningBrain,0.053,98.284,0.643,108,0.555
LearningBrain,0.055,99.029,0.617,101,0.557
LearningBrain,0.054,99.803,0.644,101,0.559
LearningBrain,0.062,100.548,0.613,103,0.561
LearningBrain,0.054,101.318,0.643,103,0.563
LearningBrain,0.057,102.077,0.629,105,0.566
LearningBrain,0.058,102.910,0.696,112,0.569
LearningBrain,0.052,103.698,0.659,102,0.572
LearningBrain,0.053,104.440,0.618,104,0.573
LearningBrain,0.052,105.178,0.616,104,0.575
LearningBrain,0.053,105.981,0.673,107,0.577
LearningBrain,0.055,106.756,0.645,107,0.577
LearningBrain,0.055,107.597,0.702,106,0.580
LearningBrain,0.052,108.353,0.631,105,0.582
LearningBrain,0.054,109.162,0.678,103,0.584
LearningBrain,0.054,109.891,0.605,102,0.585
LearningBrain,0.061,110.649,0.625,104,0.586
LearningBrain,0.055,111.437,0.658,106,0.588
LearningBrain,0.051,112.261,0.681,101,0.591
LearningBrain,0.054,113.047,0.657,104,0.592
LearningBrain,0.053,113.864,0.686,102,0.593
LearningBrain,0.051,114.639,0.650,101,0.595
LearningBrain,0.055,115.415,0.644,103,0.597
LearningBrain,0.051,116.209,0.664,101,0.598
LearningBrain,0.057,117.011,0.668,105,0.600
LearningBrain,0.052,117.803,0.663,105,0.602
LearningBrain,0.052,118.582,0.653,103,0.605
LearningBrain,0.056,119.354,0.641,102,0.608
LearningBrain,0.066,120.275,0.767,127,0.611
LearningBrain,0.060,121.030,0.624,101,0.613
LearningBrain,0.052,121.728,0.581,103,0.614
LearningBrain,0.053,122.505,0.650,103,0.616
LearningBrain,0.055,123.272,0.637,102,0.618
