Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,1.136,2866.285,15.275,10006,0.850
LearningBrain,1.083,2883.845,15.267,10022,0.851
LearningBrain,1.041,2902.688,16.603,10010,0.851
LearningBrain,1.100,2921.386,16.386,10017,0.852
LearningBrain,1.105,2938.898,15.169,10004,0.853
LearningBrain,1.130,2957.462,16.225,10001,0.853
LearningBrain,1.068,2975.212,15.432,10004,0.854
LearningBrain,1.038,2993.417,15.991,10017,0.855
LearningBrain,1.102,3011.662,15.967,10004,0.855
LearningBrain,1.205,3029.368,15.307,10003,0.856
LearningBrain,1.042,3047.970,16.344,10003,0.857
LearningBrain,1.062,3065.961,15.730,10004,0.857
LearningBrain,1.056,3084.075,15.825,10001,0.858
LearningBrain,1.131,3101.429,15.000,10013,0.858
LearningBrain,1.110,3119.484,15.743,10005,0.859
LearningBrain,1.104,3137.200,15.383,10015,0.860
LearningBrain,1.107,3154.689,15.157,10012,0.860
LearningBrain,1.107,3172.131,15.147,10003,0.861
LearningBrain,1.224,3189.819,15.245,10008,0.861
LearningBrain,1.073,3207.436,15.317,10003,0.862
LearningBrain,1.064,3224.991,15.320,10005,0.863
LearningBrain,1.137,3242.744,15.321,10012,0.863
LearningBrain,1.039,3260.216,15.231,10007,0.864
LearningBrain,1.098,3277.721,15.195,10005,0.864
LearningBrain,1.094,3296.576,16.563,10029,0.865
LearningBrain,1.043,3315.004,16.177,10002,0.866
LearningBrain,1.075,3333.226,15.960,10017,0.866
LearningBrain,1.023,3351.770,16.313,10003,0.867
LearningBrain,1.044,3370.840,16.819,10008,0.867
LearningBrain,1.068,3389.771,16.673,10018,0.868
LearningBrain,1.081,3407.646,15.607,10001,0.868
LearningBrain,1.051,3426.654,16.729,10002,0.869
LearningBrain,1.055,3445.818,16.891,10002,0.869
LearningBrain,1.070,3464.548,16.486,10016,0.870
LearningBrain,1.198,3481.358,14.390,10002,0.870
LearningBrain,1.101,3497.805,14.160,10007,0.871
LearningBrain,1.089,3515.354,15.226,10001,0.871
LearningBrain,1.100,3533.156,15.534,10007,0.872
LearningBrain,1.068,3550.285,14.833,10005,0.872
LearningBrain,1.096,3568.506,15.926,10007,0.873
LearningBrain,1.084,3586.057,15.261,10012,0.873
LearningBrain,1.052,3604.303,15.990,10015,0.874
LearningBrain,1.048,3623.099,16.578,10006,0.874
LearningBrain,1.095,3641.686,16.302,10010,0.875
LearningBrain,1.078,3659.871,15.891,10020,0.875
LearningBrain,1.093,3678.202,16.047,10002,0.875
LearningBrain,1.034,3696.727,16.300,10006,0.876
LearningBrain,1.060,3714.258,15.278,10002,0.876
LearningBrain,1.039,3732.169,15.685,10008,0.877
LearningBrain,1.069,3749.688,15.245,10008,0.877
LearningBrain,1.075,3767.102,15.100,10044,0.878
LearningBrain,1.165,3784.358,14.796,10018,0.878
LearningBrain,1.169,3802.896,16.129,10011,0.879
LearningBrain,1.101,3821.154,15.952,10009,0.879
LearningBrain,1.112,3838.448,14.929,10003,0.879
LearningBrain,1.149,3855.805,15.011,10006,0.880
LearningBrain,1.176,3872.864,14.601,10010,0.880
LearningBrain,1.144,3890.780,15.501,10001,0.881
