Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
LearningBrain,0.229,3476.028,5.886,1009,0.652
LearningBrain,0.229,3482.783,5.877,1015,0.653
LearningBrain,0.227,3489.485,5.829,1001,0.653
LearningBrain,0.230,3496.350,5.972,1022,0.654
LearningBrain,0.230,3503.052,5.823,1004,0.655
LearningBrain,0.231,3509.833,5.896,1011,0.655
LearningBrain,0.228,3516.500,5.794,1003,0.656
LearningBrain,0.230,3523.300,5.916,1017,0.656
LearningBrain,0.230,3529.931,5.762,1005,0.657
LearningBrain,0.230,3536.683,5.874,1019,0.657
LearningBrain,0.227,3543.322,5.771,1004,0.658
LearningBrain,0.227,3549.978,5.784,1006,0.658
LearningBrain,0.226,3556.777,5.918,1024,0.659
LearningBrain,0.228,3563.473,5.818,1007,0.659
LearningBrain,0.232,3570.246,5.888,1009,0.660
LearningBrain,0.227,3577.073,5.941,1012,0.660
LearningBrain,0.226,3583.802,5.852,1011,0.661
LearningBrain,0.227,3590.418,5.749,1004,0.661
LearningBrain,0.228,3597.199,5.902,1016,0.662
LearningBrain,0.227,3603.870,5.801,1001,0.662
LearningBrain,0.226,3610.668,5.916,1012,0.663
LearningBrain,0.229,3617.306,5.769,1001,0.663
LearningBrain,0.227,3624.050,5.868,1009,0.664
LearningBrain,0.229,3630.805,5.873,1019,0.664
LearningBrain,0.229,3637.620,5.926,1014,0.665
LearningBrain,0.228,3644.401,5.907,1005,0.665
LearningBrain,0.231,3651.179,5.896,1011,0.666
LearningBrain,0.233,3658.271,6.174,1079,0.666
LearningBrain,0.228,3664.936,5.796,1001,0.667
LearningBrain,0.227,3671.903,6.067,1051,0.667
LearningBrain,0.229,3678.603,5.827,1007,0.668
LearningBrain,0.230,3685.331,5.848,1007,0.668
LearningBrain,0.231,3692.057,5.852,1008,0.669
LearningBrain,0.230,3698.841,5.894,1002,0.669
LearningBrain,0.230,3705.542,5.825,1014,0.670
LearningBrain,0.229,3712.201,5.789,1009,0.670
LearningBrain,0.231,3719.002,5.919,1018,0.671
LearningBrain,0.224,3725.660,5.786,1001,0.671
LearningBrain,0.226,3732.407,5.868,1010,0.672
LearningBrain,0.231,3739.163,5.877,1003,0.672
LearningBrain,0.229,3745.841,5.801,1003,0.673
LearningBrain,0.229,3752.531,5.817,1001,0.673
LearningBrain,0.229,3759.479,5.934,1012,0.674
LearningBrain,0.230,3766.208,5.852,1011,0.674
LearningBrain,0.229,3772.839,5.763,1005,0.675
LearningBrain,0.226,3779.518,5.809,1004,0.675
LearningBrain,0.241,3786.319,5.900,1018,0.676
LearningBrain,0.228,3793.085,5.881,1010,0.676
LearningBrain,0.230,3799.827,5.862,1012,0.677
LearningBrain,0.227,3806.641,5.926,1013,0.677
LearningBrain,0.230,3813.427,5.901,1017,0.678
LearningBrain,0.228,3820.137,5.832,1006,0.678
LearningBrain,0.229,3826.961,5.940,1016,0.679
LearningBrain,0.228,3833.662,5.825,1006,0.679
LearningBrain,0.228,3840.335,5.801,1002,0.680
LearningBrain,0.227,3847.082,5.866,1008,0.680
LearningBrain,0.228,3853.780,5.825,1007,0.680
LearningBrain,0.228,3860.512,5.853,1002,0.681
LearningBrain,0.228,3867.188,5.804,1004,0.681
LearningBrain,0.230,3873.824,5.762,1006,0.682
LearningBrain,0.226,3880.629,5.920,1016,0.683
LearningBrain,0.225,3887.440,5.931,1020,0.683
LearningBrain,0.228,3894.156,5.839,1005,0.683
LearningBrain,0.231,3900.917,5.881,1020,0.684
LearningBrain,0.226,3907.620,5.827,1010,0.684
LearningBrain,0.232,3914.257,5.764,1005,0.685
LearningBrain,0.230,3920.920,5.789,1001,0.686
LearningBrain,0.228,3927.656,5.866,1003,0.686
LearningBrain,0.230,3934.359,5.827,1001,0.686
LearningBrain,0.226,3941.103,5.864,1003,0.687
LearningBrain,0.226,3947.837,5.863,1006,0.687
LearningBrain,0.226,3954.472,5.768,1004,0.688
LearningBrain,0.227,3961.259,5.903,1005,0.688
LearningBrain,0.228,3968.063,5.917,1011,0.689
LearningBrain,0.230,3974.909,5.962,1007,0.689
LearningBrain,0.228,3981.646,5.856,1007,0.689
LearningBrain,0.227,3988.462,5.933,1022,0.690
LearningBrain,0.226,3995.323,5.970,1019,0.690
LearningBrain,0.225,4002.101,5.901,1004,0.691
LearningBrain,0.228,4008.813,5.838,1001,0.691
LearningBrain,0.229,4015.553,5.861,1003,0.691
LearningBrain,0.229,4022.287,5.855,1011,0.692
LearningBrain,0.226,4029.030,5.864,1005,0.692
LearningBrain,0.230,4035.843,5.923,1013,0.693
LearningBrain,0.229,4042.581,5.856,1005,0.693
LearningBrain,0.227,4049.274,5.820,1004,0.693
LearningBrain,0.239,4056.177,6.000,1025,0.694
LearningBrain,0.233,4063.039,5.970,1018,0.694
LearningBrain,0.230,4070.007,5.944,1016,0.695
LearningBrain,0.228,4076.768,5.882,1015,0.695
LearningBrain,0.226,4083.537,5.886,1005,0.696
LearningBrain,0.229,4090.335,5.911,1013,0.696
LearningBrain,0.227,4097.100,5.886,1005,0.697
LearningBrain,0.228,4103.877,5.891,1014,0.697
LearningBrain,0.229,4110.579,5.825,1007,0.697
LearningBrain,0.227,4117.358,5.895,1008,0.698
LearningBrain,0.228,4124.003,5.774,1002,0.698
LearningBrain,0.228,4130.697,5.814,1013,0.699
LearningBrain,0.229,4137.450,5.871,1008,0.699
LearningBrain,0.228,4144.325,5.983,1006,0.699
LearningBrain,0.229,4151.200,5.978,1022,0.700
LearningBrain,0.230,4157.959,5.875,1011,0.700
LearningBrain,0.230,4164.721,5.879,1007,0.700
LearningBrain,0.226,4171.424,5.831,1007,0.701
LearningBrain,0.226,4178.126,5.826,1004,0.701
LearningBrain,0.229,4184.883,5.873,1011,0.702
LearningBrain,0.227,4191.724,5.952,1020,0.702
LearningBrain,0.233,4198.438,5.829,1013,0.702
LearningBrain,0.228,4205.141,5.825,1001,0.703
LearningBrain,0.228,4211.818,5.804,1002,0.703
LearningBrain,0.228,4218.594,5.894,1019,0.703
LearningBrain,0.228,4225.287,5.819,1012,0.704
LearningBrain,0.231,4232.018,5.848,1001,0.704
LearningBrain,0.227,4238.780,5.878,1008,0.705
LearningBrain,0.229,4245.532,5.871,1006,0.705
LearningBrain,0.227,4252.280,5.866,1001,0.706
LearningBrain,0.228,4259.014,5.858,1016,0.706
LearningBrain,0.228,4265.816,5.913,1013,0.706
LearningBrain,0.227,4272.607,5.904,1002,0.707
LearningBrain,0.230,4279.454,5.954,1020,0.707
LearningBrain,0.228,4286.151,5.818,1003,0.707
LearningBrain,0.227,4292.909,5.882,1001,0.708
LearningBrain,0.224,4299.774,5.969,1015,0.708
LearningBrain,0.227,4306.555,5.902,1004,0.709
LearningBrain,0.229,4313.254,5.822,1003,0.709
LearningBrain,0.228,4319.935,5.807,1003,0.709
LearningBrain,0.227,4326.722,5.905,1005,0.710
LearningBrain,0.230,4333.489,5.885,1010,0.710
LearningBrain,0.229,4340.181,5.813,1005,0.710
LearningBrain,0.230,4346.849,5.796,1003,0.711
LearningBrain,0.232,4353.610,5.876,1009,0.711
LearningBrain,0.229,4360.436,5.935,1014,0.711
LearningBrain,0.231,4367.265,5.935,1018,0.712
LearningBrain,0.228,4374.041,5.892,1018,0.712
LearningBrain,0.228,4380.887,5.842,1005,0.713
LearningBrain,0.233,4387.731,5.948,1012,0.713
LearningBrain,0.230,4394.493,5.881,1001,0.713
LearningBrain,0.229,4401.289,5.914,1006,0.714
LearningBrain,0.226,4407.967,5.804,1002,0.714
LearningBrain,0.229,4414.668,5.825,1004,0.715
LearningBrain,0.227,4421.358,5.816,1001,0.715
LearningBrain,0.228,4428.136,5.889,1014,0.715
LearningBrain,0.226,4434.807,5.802,1017,0.716
LearningBrain,0.227,4441.596,5.904,1003,0.716
LearningBrain,0.232,4448.365,5.887,1001,0.717
LearningBrain,0.229,4455.128,5.880,1008,0.717
LearningBrain,0.232,4461.953,5.935,1019,0.717
LearningBrain,0.227,4468.762,5.926,1014,0.718
LearningBrain,0.226,4475.516,5.870,1018,0.718
LearningBrain,0.227,4482.384,5.971,1014,0.718
LearningBrain,0.229,4489.140,5.873,1005,0.719
LearningBrain,0.226,4495.787,5.777,1008,0.719
LearningBrain,0.227,4502.462,5.803,1007,0.720
LearningBrain,0.231,4509.212,5.869,1002,0.720
LearningBrain,0.224,4515.951,5.858,1004,0.720
LearningBrain,0.229,4522.723,5.889,1015,0.720
LearningBrain,0.227,4529.420,5.825,1010,0.721
LearningBrain,0.246,4536.196,5.875,1013,0.721
LearningBrain,0.231,4542.971,5.882,1016,0.721
LearningBrain,0.227,4549.661,5.818,1001,0.722
LearningBrain,0.229,4556.416,5.877,1013,0.722
LearningBrain,0.228,4563.209,5.905,1009,0.722
LearningBrain,0.230,4569.974,5.885,1005,0.723
LearningBrain,0.232,4576.794,5.926,1011,0.723
LearningBrain,0.228,4583.509,5.839,1002,0.724
LearningBrain,0.228,4590.209,5.825,1001,0.724
LearningBrain,0.228,4597.102,5.999,1018,0.724
LearningBrain,0.231,4603.827,5.851,1004,0.725
LearningBrain,0.228,4610.543,5.830,1004,0.725
LearningBrain,0.227,4617.295,5.875,1007,0.725
LearningBrain,0.224,4623.985,5.815,1009,0.726
LearningBrain,0.230,4630.827,5.950,1012,0.726
LearningBrain,0.229,4637.538,5.831,1003,0.726
LearningBrain,0.227,4644.272,5.859,1004,0.726
LearningBrain,0.227,4650.958,5.814,1002,0.727
LearningBrain,0.226,4657.787,5.939,1018,0.727
LearningBrain,0.227,4664.541,5.872,1012,0.727
LearningBrain,0.228,4671.347,5.919,1016,0.728
LearningBrain,0.228,4678.124,5.890,1008,0.728
LearningBrain,0.230,4684.852,5.848,1005,0.729
LearningBrain,0.232,4691.813,5.943,1015,0.729
LearningBrain,0.225,4698.566,5.871,1009,0.729
LearningBrain,0.229,4705.366,5.917,1003,0.729
LearningBrain,0.230,4712.089,5.839,1009,0.730
LearningBrain,0.228,4718.882,5.908,1003,0.730
LearningBrain,0.231,4725.586,5.823,1001,0.730
LearningBrain,0.230,4732.288,5.823,1009,0.731
LearningBrain,0.227,4739.083,5.911,1007,0.731
LearningBrain,0.231,4745.823,5.855,1007,0.731
LearningBrain,0.230,4752.703,5.982,1015,0.732
LearningBrain,0.226,4759.467,5.883,1005,0.732
LearningBrain,0.228,4766.175,5.834,1001,0.732
LearningBrain,0.231,4772.947,5.886,1008,0.733
LearningBrain,0.227,4779.785,5.951,1017,0.733
LearningBrain,0.225,4786.581,5.913,1007,0.733
LearningBrain,0.225,4793.313,5.860,1010,0.734
LearningBrain,0.230,4799.990,5.800,1002,0.734
LearningBrain,0.228,4806.752,5.878,1003,0.734
LearningBrain,0.227,4813.581,5.939,1017,0.734
LearningBrain,0.229,4820.292,5.832,1010,0.735
LearningBrain,0.230,4827.103,5.920,1007,0.735
LearningBrain,0.230,4833.849,5.862,1003,0.735
LearningBrain,0.227,4840.632,5.896,1008,0.735
LearningBrain,0.227,4847.336,5.824,1002,0.736
LearningBrain,0.229,4854.078,5.858,1003,0.736
LearningBrain,0.226,4860.758,5.803,1006,0.736
LearningBrain,0.230,4867.510,5.871,1003,0.737
LearningBrain,0.229,4874.213,5.823,1011,0.737
LearningBrain,0.232,4880.898,5.806,1004,0.737
LearningBrain,0.226,4887.600,5.824,1014,0.737
LearningBrain,0.227,4894.312,5.833,1007,0.738
LearningBrain,0.228,4901.127,5.916,1014,0.738
LearningBrain,0.230,4907.864,5.855,1005,0.738
LearningBrain,0.227,4914.512,5.777,1003,0.738
LearningBrain,0.231,4921.318,5.914,1006,0.739
LearningBrain,0.227,4928.177,5.967,1007,0.739
LearningBrain,0.231,4935.001,5.928,1021,0.739
LearningBrain,0.228,4941.833,5.945,1027,0.740
LearningBrain,0.227,4948.503,5.796,1001,0.740
LearningBrain,0.227,4955.209,5.830,1006,0.740
LearningBrain,0.229,4962.108,6.002,1013,0.741
LearningBrain,0.226,4968.804,5.822,1004,0.741
LearningBrain,0.229,4975.470,5.793,1003,0.741
LearningBrain,0.228,4982.170,5.821,1003,0.741
LearningBrain,0.224,4988.907,5.862,1003,0.742
